id,category,source,scope,evidence_class,status,notes
SV-OFF-UK-RUIN-CHI,official-uk,https://www.pokemon.com/uk/pokemon-news/announcing-the-total-victories-against-shiny-chi-yu-in-pokemon-scarlet-and-pokemon-violet,Shiny Chi-Yu victory total and Mystery Gift,Official primary,checked,"UTC schedule differs in displayed date from North American PDT notice"
SV-OFF-UK-GIFT-LIKO,official-uk,https://www.pokemon.com/uk/pokemon-news/get-likos-sprigatito-in-pokemon-scarlet-or-pokemon-violet-via-mystery-gift,Liko Sprigatito UK distribution notice,Official primary,checked,"Regional distribution wording and expiry"
SV-OFF-UK-GIFT-DOT,official-uk,https://www.pokemon.com/uk/pokemon-news/get-dots-quaxly-in-pokemon-scarlet-or-pokemon-violet-via-mystery-gift,Dot Quaxly UK distribution notice,Official primary,checked,"Regional distribution wording and expiry"
SV-OFF-UK-DLC-BUNDLE,official-uk,https://www.pokemon.com/uk/news/pokemon-scarlet-or-pokemon-violet-dlc-bundles-now-available,game+DLC bundle and purchase bonus,Official primary,checked,"Documents 100 Poké Ball bundle bonus and Indigo Disk update requirement"
SV-OFF-HOME,official-home,https://home.pokemon.com/en-gb/move/,Pokémon HOME transfer rules,Official primary,checked,"Transfer compatibility and Tera Type handling"
SV-GH-PKNX,github-tool,https://github.com/kwsch/pkNX,data dump parsers and structures,Reverse engineering,checked,"SV dump support; assumes 4.0.0"
SV-GH-GFTOOL,github-tool,https://github.com/pkZukan/gftool,TRPFS/TRPFD and Trinity formats,Reverse engineering,checked,"Canonical Trinity tooling"
SV-GH-POKEDOCS,github-docs,https://github.com/pkZukan/PokeDocs,FlatBuffers hashes and metadata,Reverse engineering,checked,"Verified repository has dedicated SV and ZA trees"
SV-GH-KMEDITOR,github-tool,https://github.com/KotMatrosk1n/KM-Editor,game data editors and data models,Reverse engineering,checked,"Pokémon/moves/items/trainers/text/encounters/gifts/trades/raids/shops/placement/models/audio"
SV-GH-SVTEXT,github-datamine,https://github.com/Pokemon-Project-com/sv-text,multilingual common/script text,Public datamine,checked,"Japanese incl. kana/kanji, Korean, English, Chinese and European languages"
SV-GH-TITANREDOCS,github-docs,https://github.com/TM-C0M8U570RZ/Titan-Re-Docs,SV reverse engineering notes,Reverse engineering,checked,"WIP technical discoveries"
SV-GH-PROJECTSKY,github-tool,https://github.com/svfeplvce/ProjectSky,personal/evolution/learnset/trainer editing,Reverse engineering,checked,"Original repository; forks tracked separately only when materially divergent"
SV-GH-MODELIMPORT,github-tool,https://github.com/ChicoEevee/Pokemon-Switch-Model-Importer-Blender,models/animations/TRSKL/TRMSH/TRMBF/Trinity camera,Reverse engineering,checked,"SV model pipeline and references to raw model resources"
SV-GH-MODELIMPORT-PLUS,github-tool,https://github.com/AncientDbri/Pokemon-Switch-Model-Importer-Plus,extended model import/export and animation tooling,Reverse engineering,checked,"Derivative importer with SV and Z-A raw-file references; treat upstream/derivative separately"
SV-GH-POKEMODBLENDER,github-tool,https://github.com/ChicoEevee/PokeModding-PLA-SV-Blender,Blender exporters and PokeDocs schemas,Reverse engineering,checked,"TRMSH/TRMBF/TRSKL tooling"
SV-GH-SVLIVEMAP,github-tool,https://github.com/Lincoln-LM/sv-live-map,Tera Raid memory/flatbuffer/map logic,Reverse engineering,checked,"Reads raid encounter info from flatbuffer binary in memory"
SV-GH-PKTERARAID,github-tool,https://github.com/Insektaure/pkTeraRaid,Paldea/Kitakami/Blueberry raid maps and coordinates,Reverse engineering,checked,"Credits Tera-Finder/RaidCrawler/PKHeX data sources"
SV-GH-EVENT-RAID-INJECTOR,github-tool,https://github.com/Insektaure/Event-Raid-Injector,past raid-event and mass-outbreak save data structures,Reverse engineering,checked,"SV 4.0.0; inject/clear event raid and outbreak data with round-trip verification"
SV-GH-EVENTSGALLERY,github-dataset,https://github.com/dannyisaphantom/PokemonEventsGallery,event Pokémon raid events mass outbreaks,Community archive,checked,"Generation IX gift and event data research axis"
SV-GH-PALDEAMAP,github-map,https://github.com/sebastian-ch/paldea-map,Paldea slippy map,Community tool,checked,"Map reference; provenance and data origin still need review"
SV-GH-SANDWICH1,github-tool,https://github.com/iapetos163/sv-sandwich-builder,sandwich/meal power calculation,Community reverse engineering,checked,"Derived sandwich-rule implementation"
SV-GH-SANDWICH2,github-tool,https://github.com/ComplexRobot/sandwich,sandwich combination dataset,Community reverse engineering,checked,"Brute-force derived recipe data; source algorithm not public"
SV-GH-SWITCHMODS,github-code,https://github.com/Martmists-GH/switch-mods,SV debug tools and Trinity bypass,Reverse engineering,checked,"Runtime/hook research axis"
SV-GH-SWITCHTOOLBOX,github-tool,https://github.com/KillzXGaming/Switch-Toolbox,Nintendo Switch resource formats,Reverse engineering,checked,"Archived; useful for historical format support"
SV-WIKI-BULBA-DISTS,wiki,https://bulbapedia.bulbagarden.net/wiki/List_of_event_Pok%C3%A9mon_distributions_%28Scarlet_and_Violet%29,event distribution index,Secondary database,checked,"Cross-check against official regional notices"
SV-DB-SEREBII,secondary-db,https://www.serebii.net/scarletviolet/,game/event database,Secondary database,pending-deep-sweep,"Use only as cross-check; enumerate subpages separately"
SV-FORUM-PROJECTPOKEMON,community,https://projectpokemon.org/,research/event/datamine forum and downloads,Community/technical,pending-deep-sweep,"Enumerate relevant threads event galleries and tools"
